Churn,Account Weeks,Contract Renewal,Data Plan,Data Usage,Cust Serv Calls,Day Mins,Monthly Charge,Overage Fee,Roam Mins
0,136,No,Yes,2.84,3,190.9,79.4,9.38,10.5
0,149,Yes,No,0.0,1,140.4,47.0,8.59,11.1
0,98,Yes,No,0.3,3,126.3,39.0,8.34,9.4
1,135,No,Yes,3.94,2,173.1,86.4,10.2,14.6
0,34,Yes,No,0.0,2,124.8,46.0,9.11,10.0
0,160,Yes,No,0.38,3,85.8,32.8,8.27,9.2
0,64,Yes,No,0.24,1,154.0,48.4,6.289999999999999,3.5
0,59,Yes,Yes,2.3,2,120.9,62.0,5.65,8.5
0,65,Yes,No,0.0,3,198.3,50.0,8.13,13.2
0,142,Yes,No,0.35,2,174.0,47.5,6.73,7.4
1,119,Yes,No,0.0,5,159.1,47.0,11.57,8.8
0,97,Yes,Yes,2.97,1,133.2,71.7,5.859999999999999,11.0
0,52,Yes,No,0.32,3,178.9,59.2,8.49,7.8
0,60,Yes,No,0.0,1,207.6,56.0,5.5600000000000005,6.8
0,10,Yes,No,0.0,2,173.1,48.0,9.51,11.4
0,96,Yes,No,0.21,2,160.2,52.1,8.38,9.3
1,87,Yes,No,0.0,5,227.0,45.0,10.99,9.7
0,81,Yes,No,0.11,1,175.5,53.1,7.470000000000001,10.2
0,141,Yes,No,0.0,1,126.9,37.0,9.0,8.0
1,121,Yes,Yes,1.57,5,198.4,56.7,3.77,5.8
0,68,Yes,No,0.0,3,148.8,47.0,7.33,12.1
0,125,Yes,No,0.0,1,216.3,55.0,8.87,12.0
0,174,Yes,No,0.0,1,,48.0,8.5,11.4
0,116,Yes,Yes,3.13,2,,92.3,8.91,11.6
0,74,Yes,Yes,3.94,2,,93.4,7.3100000000000005,14.6
0,149,Yes,Yes,3.4,3,,81.0,9.39,12.6
0,38,Yes,No,0.0,2,,37.0,8.15,8.2
0,40,Yes,Yes,1.67,2,,56.7,8.48,6.2
0,43,No,No,0.0,0,,61.0,5.640000000000001,9.3
0,113,No,No,0.0,0,,39.0,5.32,8.3
0,126,Yes,No,0.0,1,,55.0,5.85,7.8
1,150,Yes,No,0.0,4,,45.0,8.46,13.8
0,138,Yes,No,0.0,3,,56.0,8.53,11.8
0,162,Yes,Yes,3.27,0,,87.7,9.41,12.1
0,147,Yes,No,0.0,3,,55.0,7.45,8.0
0,90,Yes,No,0.0,1,,54.0,6.34,7.3
0,85,Yes,No,0.0,0,,54.0,7.86,12.0
0,50,Yes,No,0.0,1,,46.0,6.17,6.1
1,82,Yes,No,0.21,0,,69.1,9.05,11.7
1,144,Yes,No,0.21,4,,20.1,3.86,8.2
0,46,Yes,No,0.26,2,,53.6,8.22,8.2
0,70,Yes,No,0.3,1,,46.0,7.76,15.0
0,144,Yes,No,0.0,1,,60.0,10.18,13.2
0,116,No,No,0.3,3,202.4,58.0,5.24,12.6
0,55,Yes,Yes,2.97,3,165.6,69.7,6.81,11.0
0,70,Yes,Yes,2.65,1,236.5,91.5,7.99,9.8
1,106,Yes,No,0.0,4,210.6,57.0,12.46,12.4
0,128,Yes,Yes,2.32,0,166.3,73.2,6.300000000000001,8.6
1,94,Yes,No,0.0,4,157.9,41.0,7.75,8.0
0,111,Yes,No,0.0,1,201.3,55.0,5.43,12.0
0,74,Yes,Yes,2.94,2,154.1,66.4,6.17,10.9
1,128,Yes,No,0.0,3,237.9,62.0,12.38,13.9
0,82,Yes,No,0.17,1,143.9,43.7,9.75,11.1
1,155,No,No,0.0,2,203.4,51.0,9.55,8.9
0,80,Yes,No,0.0,1,124.3,36.0,8.65,7.9
0,78,Yes,No,0.0,3,239.9,59.0,8.92,9.5
0,90,Yes,No,0.0,3,166.1,47.0,9.53,10.6
0,104,Yes,No,0.3,1,265.4,58.0,4.05,9.8
0,73,Yes,No,0.0,0,160.1,46.0,5.67,13.0
0,99,Yes,No,0.0,4,185.2,52.0,5.369999999999999,8.7
1,120,Yes,No,0.0,3,212.1,54.0,10.47,5.3
1,77,Yes,No,0.0,4,251.8,61.0,10.29,9.8
0,98,Yes,Yes,1.19,4,161.2,60.9,7.609999999999999,4.4
0,108,Yes,No,0.34,0,165.3,50.4,9.45,14.6
0,135,Yes,No,0.0,0,151.7,36.0,5.95,10.5
0,95,Yes,No,0.0,1,135.0,39.0,9.18,12.5
0,122,Yes,No,0.39,1,170.5,47.9,8.69,11.3
0,95,Yes,No,0.0,4,225.1,57.0,9.36,11.8
0,36,Yes,Yes,2.43,2,268.4,90.3,5.109999999999999,9.0
0,93,Yes,Yes,2.65,1,117.9,61.5,8.23,9.8
0,141,Yes,Yes,2.73,1,148.6,64.3,6.56,10.1
0,157,Yes,No,0.0,3,216.8,52.0,7.4,9.6
0,120,Yes,No,0.0,1,165.0,56.0,10.86,8.3
0,103,Yes,No,0.0,2,172.0,51.0,6.17,12.6
0,98,Yes,No,0.0,4,161.0,44.0,9.55,12.1
0,125,Yes,No,0.0,1,126.7,40.0,5.300000000000001,13.3
0,63,Yes,No,0.0,1,58.9,25.0,8.48,9.4
1,36,No,Yes,5.4,2,196.8,110.0,12.75,20.0
0,64,Yes,No,0.29,1,162.6,43.9,7.62,14.2
1,74,Yes,No,0.21,1,282.5,69.1,11.0,9.4
0,112,Yes,Yes,2.7,2,113.7,60.0,7.88,10.0
0,97,Yes,No,0.0,2,226.8,60.0,5.74,8.7
0,46,Yes,No,0.21,1,197.2,58.1,6.369999999999999,13.1
0,41,Yes,Yes,1.94,0,200.8,68.4,7.09,7.2
0,121,Yes,No,0.0,3,177.7,49.0,9.18,9.8
0,193,Yes,No,0.0,1,170.9,41.0,6.62,11.6
0,130,Yes,No,0.0,2,154.2,36.0,5.51,9.2
0,85,Yes,No,0.4,1,188.4,58.0,6.470000000000001,12.0
1,162,Yes,No,0.0,4,146.7,26.0,7.88,9.1
1,61,Yes,Yes,1.73,4,187.5,62.3,7.33,6.4
0,92,Yes,No,0.0,2,91.7,33.0,9.69,9.2
0,131,Yes,Yes,2.57,3,201.2,76.7,8.09,9.5
0,90,Yes,No,0.0,3,145.5,44.0,5.890000000000001,10.9
0,75,Yes,No,0.0,1,166.3,42.0,7.91,6.1
0,78,Yes,No,0.0,1,218.0,59.0,6.52,9.5
0,82,Yes,No,0.0,4,187.3,52.0,5.0600000000000005,7.1
0,163,Yes,No,0.0,1,184.0,51.0,5.130000000000001,9.1
0,91,No,No,0.31,3,129.9,40.1,8.67,11.2
0,75,Yes,Yes,1.43,5,175.8,63.3,5.880000000000001,5.3
0,91,Yes,No,0.0,3,190.1,53.0,5.51,12.0
0,127,Yes,Yes,3.02,1,170.2,72.2,6.34,11.2
0,113,Yes,Yes,2.75,2,192.0,75.5,7.6,10.2
0,110,Yes,No,0.0,1,148.5,49.0,8.82,12.4
0,120,Yes,Yes,2.84,0,187.3,81.4,6.02,10.5
0,157,Yes,Yes,1.84,3,179.6,68.4,9.78,6.8
0,103,Yes,No,0.0,1,233.5,59.0,9.78,11.7
1,117,No,No,0.0,4,167.1,44.0,8.88,14.1
0,140,Yes,No,0.0,3,218.9,54.0,8.01,14.3
0,127,Yes,No,0.0,1,146.7,43.0,5.18,13.7
0,83,No,No,0.26,1,258.5,67.6,5.82,11.7
0,121,Yes,No,0.0,1,168.5,50.0,5.92,8.5
0,145,Yes,Yes,3.0,2,244.7,88.0,8.11,11.1
0,113,Yes,No,0.0,1,180.8,52.0,6.07,10.6
0,117,Yes,No,0.0,1,102.8,36.0,5.34,10.1
0,65,Yes,No,0.0,1,174.9,46.0,7.88,7.5
0,56,Yes,No,0.0,1,213.0,60.0,7.43,6.9
0,96,Yes,No,0.0,5,247.39999999999998,57.0,7.3,11.5
0,151,Yes,No,0.0,0,165.7,56.0,9.61,9.8
1,83,No,No,0.0,0,337.4,77.0,11.37,15.8
0,139,Yes,Yes,3.7,0,157.6,85.0,7.35,13.7
0,6,Yes,No,0.0,1,170.6,54.0,7.84,10.2
0,115,Yes,Yes,2.59,1,142.1,65.9,9.17,9.6
0,87,Yes,No,0.31,0,136.3,41.1,8.61,7.1
0,141,Yes,No,0.0,0,204.1,58.0,7.08,12.0
0,141,Yes,Yes,2.84,3,174.5,81.4,7.07,10.5
0,62,Yes,No,0.0,1,98.9,29.0,6.77,12.2
0,146,Yes,No,0.0,1,193.3,48.0,7.43,6.1
0,92,Yes,Yes,3.27,2,230.1,92.7,5.6899999999999995,12.1
0,185,Yes,Yes,2.03,1,176.8,67.3,8.17,7.5
0,148,Yes,No,0.39,1,189.0,59.9,7.16,10.9
0,94,Yes,Yes,3.46,1,170.1,80.6,9.67,12.8
0,32,Yes,No,0.0,0,217.9,56.0,9.37,6.3
0,68,Yes,No,0.0,1,224.1,60.0,6.18,13.2
0,64,Yes,Yes,2.86,2,169.1,74.6,8.49,10.6
0,25,Yes,No,0.14,3,119.3,40.4,5.58,10.5
0,65,Yes,No,0.0,1,116.8,36.0,8.95,14.1
0,179,Yes,No,0.0,0,206.2,50.0,7.47,6.1
0,94,Yes,No,0.0,2,239.6,58.0,8.45,11.1
0,62,Yes,No,0.0,0,147.1,42.0,9.52,12.2
0,127,Yes,No,0.0,2,189.1,54.0,6.470000000000001,11.5
0,116,Yes,No,0.23,3,173.5,48.3,9.71,16.2
0,70,Yes,No,0.0,3,219.1,65.0,9.62,0.0
0,94,No,Yes,2.57,4,184.1,77.7,5.73,9.5
1,126,Yes,No,0.0,5,134.2,22.0,6.94,11.9
0,67,Yes,Yes,2.67,2,115.6,66.7,6.890000000000001,9.9
0,19,Yes,No,0.14,2,173.1,55.4,7.720000000000001,14.6
0,170,No,No,0.0,3,246.89999999999998,66.0,7.25,8.4
0,73,Yes,No,0.0,1,201.3,60.0,8.43,10.8
0,106,Yes,No,0.0,1,158.7,33.0,3.22,10.2
0,93,Yes,No,0.19,2,258.6,67.9,6.470000000000001,10.9
0,164,Yes,No,0.27,1,160.6,44.7,8.16,9.0
0,51,Yes,No,0.0,1,219.4,56.0,9.37,9.1
0,107,Yes,No,0.0,0,133.8,39.0,9.03,8.9
0,130,Yes,No,0.35,1,176.9,41.5,4.54,9.5
0,80,Yes,No,0.0,2,196.9,53.0,9.76,8.8
0,94,Yes,No,0.22,0,137.5,43.2,5.16,13.4
0,118,Yes,Yes,2.57,1,276.5,89.7,8.33,9.5
0,117,Yes,Yes,1.84,1,185.1,67.4,8.85,6.8
0,78,Yes,No,0.0,0,149.7,41.0,9.11,9.7
1,208,Yes,No,0.33,2,326.5,74.3,8.82,10.7
1,131,No,Yes,3.73,4,292.9,104.3,9.99,13.8
0,63,Yes,No,0.0,0,83.0,30.0,8.85,13.0
0,53,Yes,Yes,3.54,3,145.7,79.4,6.029999999999999,13.1
0,62,Yes,No,0.0,2,169.3,59.0,11.41,11.2
0,97,Yes,No,0.0,3,205.0,53.0,9.2,6.4
0,105,Yes,No,0.0,2,140.6,40.0,8.93,6.8
0,157,Yes,No,0.0,1,152.7,48.0,7.880000000000001,9.4
0,66,Yes,Yes,3.27,1,106.7,68.7,5.49,12.1
0,122,Yes,No,0.0,2,230.8,49.0,4.2,13.7
0,38,Yes,No,0.0,3,181.4,49.0,9.34,10.8
0,106,Yes,No,0.0,3,200.9,50.0,7.6,12.2
0,99,Yes,No,0.0,3,204.2,58.0,7.34,15.8
0,99,Yes,No,0.0,1,228.1,55.0,7.78,11.6
0,144,No,No,0.0,0,190.5,56.0,7.380000000000001,11.9
0,82,Yes,Yes,2.89,1,155.2,76.9,7.23,10.7
0,86,Yes,Yes,3.29,1,167.6,71.9,5.65,12.2
1,70,No,No,0.0,4,226.7,58.0,11.41,17.6
0,93,Yes,No,0.0,3,166.3,46.0,8.93,11.5
0,93,Yes,No,0.31,0,151.4,45.1,9.32,10.9
0,120,Yes,No,0.0,3,167.0,50.0,6.210000000000001,4.7
1,136,Yes,No,0.0,3,250.2,66.0,13.36,13.0
0,106,Yes,No,0.4,0,210.0,52.0,5.51,7.1
0,81,Yes,No,0.0,3,170.6,45.0,7.63,12.2
0,127,Yes,Yes,2.75,1,166.0,71.5,8.73,10.2
0,65,Yes,No,0.0,1,136.1,47.0,8.65,4.4
0,35,Yes,No,0.32,2,149.3,49.2,7.109999999999999,8.9
0,88,Yes,No,0.0,2,65.4,26.0,8.41,13.8
0,65,Yes,No,0.0,1,200.4,57.0,6.73,2.7
0,123,Yes,No,0.0,3,193.9,56.0,7.24,7.7
0,126,Yes,Yes,2.59,2,173.2,73.9,9.48,9.6
0,104,Yes,Yes,3.59,4,267.2,102.9,6.029999999999999,13.3
0,45,Yes,Yes,3.21,0,183.6,93.1,10.66,11.9
1,93,No,No,0.0,0,312.0,65.0,6.47,10.5
0,63,No,Yes,2.97,1,186.0,88.7,9.57,11.0
0,100,Yes,No,0.25,3,190.1,55.5,5.85,13.5
0,53,Yes,No,0.0,0,168.8,48.0,6.02,10.9
0,92,No,No,0.0,1,173.1,50.0,7.02,9.0
1,139,Yes,No,0.0,5,210.4,41.0,10.57,10.2
0,110,Yes,Yes,2.43,2,189.6,69.3,5.94,9.0
0,110,Yes,No,0.31,3,74.5,33.1,5.039999999999999,9.8
0,215,Yes,No,0.31,0,83.6,28.1,6.05,10.7
0,73,Yes,No,0.0,1,179.2,47.0,8.43,9.4
0,138,Yes,No,0.0,0,207.2,45.0,4.42,12.9
1,137,No,No,0.0,4,211.1,35.0,6.71,12.3
0,36,Yes,No,0.25,1,240.4,61.5,9.12,8.4
0,85,Yes,No,0.0,3,212.0,54.0,8.85,7.1
1,108,No,No,0.0,2,198.5,57.0,13.39,9.4
0,22,Yes,No,0.0,0,110.3,33.0,8.33,9.5
0,107,Yes,Yes,3.0,0,60.0,49.0,5.11,11.1
0,51,Yes,No,0.0,0,201.8,50.0,7.49,10.2
0,94,Yes,No,0.0,4,168.8,49.0,5.119999999999999,9.2
0,119,Yes,Yes,3.19,2,154.0,81.9,8.9,11.8
1,33,Yes,Yes,3.75,4,157.4,74.5,5.9,13.9
0,106,Yes,No,0.0,4,194.9,50.0,8.6,14.4
0,82,Yes,No,0.0,3,194.0,55.0,6.65,9.1
0,86,Yes,Yes,2.57,0,119.0,65.7,6.5,9.5
0,97,No,No,0.28,0,143.7,50.8,8.65,10.9
0,106,Yes,Yes,3.81,4,165.9,85.1,5.83,14.1
0,108,Yes,No,0.0,1,138.6,39.0,8.62,9.8
0,114,Yes,No,0.29,1,84.7,38.9,7.5,14.5
1,92,No,No,0.0,3,138.6,26.0,9.03,10.4
0,59,Yes,No,0.0,1,155.2,47.0,6.77,8.7
0,24,Yes,Yes,1.81,1,164.9,64.1,5.470000000000001,6.7
0,151,Yes,No,0.0,1,134.5,36.0,7.16,15.4
0,117,Yes,No,0.0,1,143.3,43.0,5.57,11.5
0,78,Yes,No,0.51,1,168.3,53.1,6.0600000000000005,12.5
0,155,Yes,No,0.0,2,249.39999999999998,62.0,9.73,8.3
0,114,Yes,Yes,3.08,1,193.2,88.8,8.0,11.4
0,114,Yes,Yes,2.27,4,212.8,77.7,9.65,8.4
0,119,Yes,No,0.0,3,138.3,38.0,8.53,13.5
0,64,Yes,Yes,1.22,0,94.4,40.2,6.81,4.5
0,118,No,No,0.0,2,160.0,43.0,8.77,9.9
0,101,Yes,No,0.0,0,193.6,55.0,6.25,14.6
0,117,Yes,No,0.0,1,134.7,39.0,9.0,7.7
0,49,Yes,Yes,2.16,3,201.4,78.6,6.76,8.0
0,139,Yes,No,0.0,3,179.8,53.0,6.720000000000001,13.0
0,92,Yes,Yes,2.7,1,151.1,70.0,9.74,10.0
0,83,Yes,No,0.0,3,208.4,58.0,6.59,9.8
0,148,No,No,0.0,0,205.9,55.0,5.4,11.1
1,144,Yes,Yes,1.76,4,189.8,60.6,6.17,6.5
0,131,Yes,Yes,2.94,2,179.7,81.4,6.300000000000001,10.9
0,146,No,No,0.0,3,191.4,54.0,5.960000000000001,10.5
0,143,Yes,No,0.42,2,172.3,49.2,8.7,13.0
0,81,Yes,No,0.13,2,185.4,53.3,5.550000000000001,10.4
0,48,Yes,Yes,3.29,1,198.7,82.9,8.0,12.2
0,86,Yes,Yes,2.43,1,208.6,87.3,9.42,9.0
0,71,Yes,No,0.0,3,184.9,50.0,9.08,6.7
0,145,Yes,Yes,4.21,2,147.5,83.1,8.79,15.6
0,137,Yes,No,0.0,2,193.4,46.0,6.4,8.8
0,137,Yes,No,0.27,2,192.9,55.7,5.470000000000001,14.5
0,167,Yes,No,0.0,0,194.6,47.0,6.62,14.1
1,89,Yes,No,0.0,1,303.9,74.0,13.05,5.3
0,199,Yes,Yes,2.16,0,217.6,79.6,5.970000000000001,8.0
0,132,Yes,No,0.0,0,99.5,28.0,6.46,9.7
0,94,Yes,No,0.0,1,164.1,47.0,9.7,5.9
1,96,Yes,Yes,2.78,5,172.7,67.8,6.01,10.3
0,96,Yes,Yes,2.65,1,172.7,67.5,6.67,9.8
0,166,Yes,No,0.29,1,191.2,52.9,9.0,9.5
0,74,Yes,No,0.2,2,85.7,38.0,7.390000000000001,10.1
0,36,Yes,No,0.34,0,157.6,46.4,9.22,11.9
0,113,Yes,No,0.0,4,202.5,56.0,5.9399999999999995,6.6
0,94,Yes,No,0.0,1,168.5,48.0,5.0,6.6
0,67,Yes,No,0.0,2,171.7,39.0,5.52,11.9
1,127,Yes,No,0.26,1,266.6,70.6,13.24,5.9
1,121,No,No,0.0,2,170.4,59.0,17.53,11.2
0,158,Yes,No,0.0,1,158.0,52.0,9.63,9.1
0,136,Yes,No,0.34,1,92.0,41.4,7.68,10.3
0,196,Yes,No,0.0,2,221.0,61.0,7.48,9.1
1,113,Yes,No,0.0,1,272.1,70.0,13.43,8.5
1,122,Yes,No,0.0,4,296.4,69.0,10.74,11.4
0,112,Yes,No,0.29,0,181.4,52.9,9.52,11.4
0,209,Yes,No,0.0,3,214.2,61.0,7.92,8.9
1,62,Yes,No,0.0,3,248.7,61.0,11.0,13.2
0,110,Yes,Yes,2.62,1,223.3,83.2,9.8,9.7
0,16,Yes,No,0.0,0,192.6,50.0,8.48,10.9
0,73,Yes,No,0.0,0,94.1,40.0,9.02,9.8
0,128,Yes,No,0.0,0,125.2,39.0,5.27,18.9
0,39,Yes,No,0.23,1,60.4,39.3,10.31,12.4
0,103,Yes,Yes,2.08,2,121.0,64.8,8.52,7.7
0,119,Yes,Yes,2.05,3,117.8,62.5,7.84,7.6
0,173,Yes,Yes,1.35,3,219.4,71.5,5.6,5.0
1,128,No,Yes,2.54,4,223.5,80.4,9.44,9.4
0,86,Yes,No,0.0,0,176.3,52.0,7.960000000000001,6.2
0,114,Yes,Yes,3.48,1,125.2,71.8,8.89,12.9
0,104,Yes,No,0.0,0,138.7,46.0,7.85,10.0
0,148,Yes,No,0.0,1,86.3,36.0,7.33,11.3
0,129,Yes,No,0.0,3,194.0,49.0,7.75,13.4
0,100,Yes,Yes,1.92,0,58.8,48.2,5.98,7.1
0,121,Yes,Yes,3.08,1,68.7,60.8,5.460000000000001,11.4
0,143,Yes,Yes,2.57,1,226.2,86.7,6.779999999999999,9.5
0,76,Yes,No,0.0,0,185.3,53.0,5.859999999999999,12.5
0,158,Yes,No,0.14,0,192.2,57.4,7.029999999999999,14.4
0,116,Yes,No,0.24,3,179.1,62.4,10.65,7.9
1,54,Yes,No,0.0,1,272.6,68.0,12.44,9.5
1,86,Yes,No,0.3,7,204.3,42.0,9.86,12.2
0,108,Yes,No,0.0,0,169.6,52.0,8.21,9.3
0,66,Yes,No,0.0,1,188.3,48.0,7.64,7.5
0,151,Yes,Yes,2.32,1,201.7,72.2,6.93,8.6
0,99,Yes,No,0.0,0,169.2,52.0,8.58,10.6
0,55,Yes,No,0.0,2,181.1,49.0,8.83,7.0
0,77,Yes,No,0.0,2,220.8,63.0,8.33,7.6
0,78,Yes,No,0.0,0,212.1,56.0,9.96,14.6
1,89,Yes,No,0.0,3,213.0,52.0,8.83,9.1
0,101,Yes,No,0.0,1,170.9,54.0,7.800000000000001,10.8
0,44,Yes,Yes,3.78,0,208.8,89.8,8.09,14.0
0,98,Yes,Yes,0.0,2,64.6,26.0,8.81,0.0
0,64,Yes,Yes,3.59,1,154.6,69.9,4.17,13.3
0,141,Yes,No,0.0,3,247.2,60.0,8.96,7.2
0,81,Yes,Yes,3.29,1,161.6,70.9,6.15,12.2
0,162,Yes,No,0.0,1,207.6,51.0,7.76,10.5
0,83,Yes,Yes,3.54,3,155.9,76.4,8.12,13.1
1,100,Yes,No,0.34,4,183.0,31.4,5.29,12.8
0,59,Yes,No,0.51,4,169.5,54.1,5.24,11.3
0,179,No,Yes,2.73,4,207.1,85.3,6.720000000000001,10.1
0,79,Yes,No,0.0,1,152.2,41.0,8.86,5.3
0,117,Yes,No,0.0,2,168.5,49.0,5.26,14.7
1,64,No,No,0.18,4,236.2,60.8,10.93,13.2
0,31,Yes,No,0.28,1,166.1,37.8,3.97,12.7
0,124,No,No,0.0,1,231.6,58.0,9.44,11.3
0,122,Yes,Yes,2.3,2,134.2,66.0,6.369999999999999,8.5
0,37,No,Yes,2.48,1,149.7,68.8,5.5600000000000005,9.2
0,90,Yes,Yes,1.57,1,150.1,64.7,8.24,5.8
1,159,No,No,0.44,3,257.1,75.4,15.61,8.8
0,148,Yes,No,0.0,0,124.4,37.0,8.99,11.3
0,39,Yes,Yes,3.24,1,141.7,76.4,6.619999999999999,12.0
0,77,Yes,No,0.14,2,217.0,49.4,5.16,11.3
0,194,Yes,No,0.0,0,162.3,46.0,5.6899999999999995,10.9
1,154,Yes,No,0.0,1,350.8,79.0,10.83,10.1
0,112,Yes,No,0.0,4,180.3,56.0,8.21,9.1
0,45,Yes,No,0.0,1,78.2,35.0,7.67,18.0
0,132,Yes,No,0.22,1,83.4,36.2,6.609999999999999,7.6
0,128,Yes,No,0.28,0,182.6,59.8,8.39,16.0
0,135,Yes,No,0.42,1,188.8,58.2,6.25,10.3
0,56,Yes,No,0.0,2,184.0,53.0,6.140000000000001,10.6
1,151,No,No,0.29,2,218.0,49.9,5.72,12.4
0,32,Yes,No,0.0,2,164.8,48.0,6.5,14.8
0,90,Yes,No,0.0,2,166.2,49.0,5.539999999999999,9.2
0,87,Yes,Yes,2.86,0,201.0,80.6,9.0,10.6
0,138,Yes,No,0.43,2,170.5,44.3,5.91,11.2
0,79,Yes,No,0.0,1,192.7,54.0,5.73,6.7
1,95,No,No,0.0,3,165.5,53.0,14.31,11.5
0,127,Yes,No,0.33,2,208.0,55.3,8.04,6.8
0,137,Yes,No,0.0,3,229.1,58.0,9.55,14.7
0,97,Yes,No,0.0,1,151.6,39.0,7.77,14.7
0,149,No,No,0.18,0,176.2,44.8,7.25,5.7
0,117,No,Yes,1.0,1,183.0,71.0,11.14,3.7
0,84,Yes,No,0.0,2,159.5,49.0,7.359999999999999,7.2
0,137,Yes,No,0.45,4,217.2,62.5,6.02,10.7
0,99,Yes,No,0.0,3,146.7,49.0,8.7,8.9
0,54,Yes,No,0.0,1,197.5,54.0,5.23,8.5
0,85,Yes,No,0.0,1,102.0,41.0,8.51,10.7
0,150,Yes,No,0.36,3,126.0,45.6,6.93,10.2
0,43,Yes,No,0.0,1,168.4,50.0,7.1899999999999995,11.1
0,35,Yes,No,0.0,0,105.6,40.0,7.91,8.7
0,98,Yes,No,0.0,5,193.5,51.0,8.81,12.4
0,112,Yes,No,0.27,2,204.1,57.7,5.26,9.4
1,16,No,No,0.0,2,229.6,57.0,10.29,10.8
0,98,Yes,Yes,2.62,0,265.3,82.2,4.67,9.7
0,84,Yes,No,0.0,0,138.6,41.0,9.95,7.8
1,94,Yes,No,0.18,3,234.4,65.8,13.97,2.0
0,84,Yes,No,0.0,1,168.5,42.0,6.54,8.5
1,66,Yes,No,0.0,3,167.3,48.0,11.5,10.6
0,98,Yes,Yes,3.24,1,121.0,72.4,5.949999999999999,12.0
0,74,Yes,No,0.0,0,208.1,48.0,5.54,10.6
0,96,Yes,Yes,2.67,1,145.8,68.7,9.61,9.9
0,119,Yes,No,0.34,1,209.8,55.4,8.16,11.2
0,73,Yes,No,0.0,4,170.4,52.0,7.1,7.5
0,92,No,No,0.0,0,251.3,59.0,8.05,9.3
0,21,Yes,No,0.0,0,146.0,35.0,5.49,6.8
1,122,Yes,No,0.29,4,157.1,45.9,9.25,8.5
0,133,No,No,0.0,1,127.3,43.0,7.57,10.3
0,145,Yes,No,0.0,2,174.9,49.0,9.85,4.8
0,25,Yes,No,0.26,2,165.8,45.6,7.06,8.4
0,64,Yes,No,0.28,2,97.2,35.8,9.31,10.4
0,85,Yes,No,0.2,0,246.8,67.0,7.119999999999999,5.4
0,126,Yes,No,0.0,3,243.5,61.0,9.98,7.0
0,76,Yes,No,0.0,0,169.5,40.0,6.2,10.0
1,113,Yes,No,0.0,4,239.7,65.0,14.15,8.7
1,224,No,No,0.26,3,171.5,45.6,8.0,5.0
0,117,Yes,No,0.0,0,226.9,56.0,8.74,9.8
0,128,Yes,Yes,4.32,1,142.3,84.2,9.74,16.0
0,115,Yes,No,0.0,2,171.1,60.0,11.350000000000001,7.5
0,141,Yes,Yes,2.51,2,193.9,83.1,8.22,9.3
0,51,Yes,No,0.0,1,246.89999999999998,60.0,8.81,15.3
